system_prompt,shots_count,runs,success_rate,median_duration_s,median_first_success_iter,median_best_error_score,median_monotonicity
SP1.txt,0,4,0.5,48.2866905,2.5,1.0,1.0
SP1.txt,1,4,0.75,78.297377,1.0,0.0,1.0
SP1.txt,2,4,0.5,63.7478285,1.0,1.0,1.0
SP2.txt,0,4,0.0,307.8526775,,6.5,0.7777777777777778
SP2.txt,1,4,0.5,47.3935035,1.5,1.0,1.0
SP2.txt,2,4,0.5,36.814131,1.0,1.0,1.0
SP3.txt,0,4,0.5,58.678222000000005,1.0,1.0,1.0
SP3.txt,1,4,0.5,83.26935900000001,1.5,1.0,1.0
SP3.txt,2,4,0.25,34.525681,1.0,2.0,1.0
SP4.txt,0,4,0.25,102.3317405,5.0,2.0,1.0
SP4.txt,1,4,0.5,75.6319885,1.0,1.0,1.0
SP4.txt,2,4,0.25,108.5967785,2.0,2.0,1.0
SP5.txt,0,4,0.0,50.527350999999996,,2.0,1.0
SP5.txt,1,4,0.25,74.856136,2.0,2.0,1.0
SP5.txt,2,4,0.5,47.429342500000004,1.5,1.0,1.0
