scenario,system_prompt,runs,success_rate,median_duration_s,median_best_error_score
Scenario_011.txt,SP1.txt,3,1.0,76.17164,0.0
Scenario_011.txt,SP2.txt,3,0.6666666666666666,90.113759,0.0
Scenario_011.txt,SP3.txt,3,1.0,92.947045,0.0
Scenario_011.txt,SP4.txt,3,1.0,127.021125,0.0
Scenario_011.txt,SP5.txt,3,0.6666666666666666,139.527836,0.0
Scenario_016.txt,SP1.txt,3,1.0,80.423114,0.0
Scenario_016.txt,SP2.txt,3,0.6666666666666666,67.923252,0.0
Scenario_016.txt,SP3.txt,3,0.3333333333333333,62.821756,2.0
Scenario_016.txt,SP4.txt,3,0.3333333333333333,74.256386,2.0
Scenario_016.txt,SP5.txt,3,0.0,67.501176,2.0
Scenario_029.txt,SP1.txt,3,0.0,10.177246,2.0
Scenario_029.txt,SP2.txt,3,0.0,10.182763,2.0
Scenario_029.txt,SP3.txt,3,0.3333333333333333,73.591673,2.0
Scenario_029.txt,SP4.txt,3,0.0,90.172432,2.0
Scenario_029.txt,SP5.txt,3,0.0,10.190788,2.0
Scenario_06.txt,SP1.txt,3,0.3333333333333333,67.074684,2.0
Scenario_06.txt,SP2.txt,3,0.0,35.990603,2.0
Scenario_06.txt,SP3.txt,3,0.0,28.371247,2.0
Scenario_06.txt,SP4.txt,3,0.0,49.033849,2.0
Scenario_06.txt,SP5.txt,3,0.3333333333333333,33.553526,2.0
